GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Margin of Error; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Margin of Error; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Margin of Error; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Margin of Error; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Margin of Error; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Margin of Error; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Margin of Error; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Margin of Error; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Margin of Error; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Margin of Error; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Margin of Error; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Margin of Error; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Margin of Error; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 to $1,499,999","Margin of Error; Total: - $1,000,000 to $1,499,999","Estimate; Total: - $1,500,000 to $1,999,999","Margin of Error; Total: - $1,500,000 to $1,999,999","Estimate; Total: - $2,000,000 or more","Margin of Error; Total: - $2,000,000 or more"
0500000US51720,51720,"Norton city, Virginia",908,155,78,52,15,24,13,19,30,30,7,12,10,15,15,16,9,14,15,26,19,19,86,52,141,74,101,53,74,39,60,53,63,43,40,48,66,49,9,14,21,35,10,17,20,25,6,10,0,12,0,12,0,12
0500000US51730,51730,"Petersburg city, Virginia",5301,332,86,58,36,30,9,13,126,59,32,26,35,30,31,29,145,58,313,103,356,127,368,109,303,110,492,141,667,134,745,162,547,131,345,101,388,84,136,65,83,38,40,38,0,25,15,16,0,25,0,25,3,8
0500000US51735,51735,"Poquoson city, Virginia",3811,157,71,50,38,31,6,11,0,19,0,19,22,34,12,21,10,14,0,19,0,19,23,31,0,19,14,21,47,32,22,21,121,61,366,108,644,158,438,115,917,158,589,159,349,105,116,67,6,10,0,19,0,19
0500000US51740,51740,"Portsmouth city, Virginia",20129,618,208,52,169,65,180,70,68,38,69,45,13,14,6,9,49,40,86,59,208,90,224,79,388,104,635,155,2198,265,2672,314,3654,409,2441,264,3287,362,1594,221,1112,196,380,105,355,116,74,50,35,22,18,20,6,10
0500000US51750,51750,"Radford city, Virginia",2395,227,77,51,53,52,0,19,50,52,26,32,0,19,0,19,15,26,8,12,0,19,42,40,158,80,119,72,341,132,327,130,372,115,265,101,195,84,140,81,60,38,7,11,42,45,40,49,0,19,0,19,58,59
0500000US51760,51760,"Richmond city, Virginia",36875,829,469,119,161,77,121,52,114,52,33,33,63,39,91,50,370,112,555,161,740,145,1148,184,1289,194,1415,197,3398,384,2933,327,3779,329,2354,282,4693,341,3274,315,3974,317,1958,261,2245,254,800,115,549,119,181,78,168,66
0500000US51770,51770,"Roanoke city, Virginia",22688,631,254,91,163,74,112,60,84,49,93,71,75,59,109,68,454,138,499,140,729,180,1051,184,1188,266,1259,202,3893,443,3690,377,2680,392,1482,221,1722,199,891,189,1064,207,626,142,314,106,151,86,54,45,30,36,21,24
0500000US51775,51775,"Salem city, Virginia",6651,355,188,79,165,73,142,96,38,33,18,28,0,22,0,22,52,37,11,18,29,29,64,41,114,74,154,65,678,158,914,177,821,148,880,185,669,163,438,117,753,159,316,132,138,77,16,26,43,37,10,15,0,22
0500000US51790,51790,"Staunton city, Virginia",5900,280,75,53,115,67,31,32,8,12,17,27,0,22,0,22,15,16,30,27,107,58,137,72,99,61,324,119,647,138,809,171,869,184,667,176,746,166,342,112,480,130,163,66,96,58,106,58,17,21,0,22,0,22
0500000US51800,51800,"Suffolk city, Virginia",21882,488,325,98,90,60,177,88,84,39,80,40,90,55,51,31,103,55,151,71,137,60,180,77,177,65,246,102,1010,164,1124,193,1823,240,2204,268,4087,367,3549,374,3467,309,1228,190,960,144,287,95,130,63,23,19,99,50
0500000US51810,51810,"Virginia Beach city, Virginia",105601,1326,1415,219,389,94,330,107,306,98,171,79,153,78,78,50,143,77,132,61,123,61,177,80,382,112,585,171,2926,393,4208,365,7459,557,8762,632,21771,934,16592,726,19534,719,8049,477,7708,413,2276,216,1070,187,359,102,503,120
0500000US51820,51820,"Waynesboro city, Virginia",5215,355,13,11,8,13,0,22,14,23,28,33,0,22,15,24,53,63,0,22,119,85,112,67,162,95,283,101,863,198,746,182,770,178,542,159,569,129,361,115,390,148,115,70,43,32,0,22,0,22,0,22,9,16
0500000US51830,51830,"Williamsburg city, Virginia",2086,177,16,18,0,19,7,12,21,23,8,13,0,19,0,19,0,19,0,19,23,27,0,19,0,19,0,19,46,37,29,24,142,61,205,91,273,80,201,64,349,81,230,88,347,82,132,53,57,35,0,19,0,19
0500000US51840,51840,"Winchester city, Virginia",4758,316,43,52,46,38,48,41,5,11,15,23,10,15,0,22,42,34,0,22,56,49,66,62,60,45,59,57,391,146,448,155,367,111,402,139,987,194,376,111,697,145,224,97,350,108,54,42,0,22,0,22,12,18
