,county_name,HC01_VC03_Estimate; SEX AND AGE - Total population,HC01_VC23_Estimate; SEX AND AGE - Median age (years),HC03_VC04_Percent; SEX AND AGE - Total population - Male,HC03_VC05_Percent; SEX AND AGE - Total population - Female,HC03_VC11_Percent; SEX AND AGE - 15 to 19 years,HC03_VC88_Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),HC03_VC94_Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,HC03_VC95_Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,HC03_VC96_Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,HC03_VC97_Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,"HC03_VC108_Percent; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population",target,grads, Bachelor's Starting Salary,Master's Starting Salary,HD01_VD01_Estimate; Total:,"HD01_VD02_Estimate; Total: - Less than $10,000","HD01_VD03_Estimate; Total: - $10,000 to $14,999","HD01_VD04_Estimate; Total: - $15,000 to $19,999","HD01_VD05_Estimate; Total: - $20,000 to $24,999","HD01_VD06_Estimate; Total: - $25,000 to $29,999","HD01_VD07_Estimate; Total: - $30,000 to $34,999","HD01_VD08_Estimate; Total: - $35,000 to $39,999","HD01_VD09_Estimate; Total: - $40,000 to $49,999","HD01_VD10_Estimate; Total: - $50,000 to $59,999","HD01_VD11_Estimate; Total: - $60,000 to $69,999","HD01_VD12_Estimate; Total: - $70,000 to $79,999","HD01_VD13_Estimate; Total: - $80,000 to $89,999","HD01_VD14_Estimate; Total: - $90,000 to $99,999","HD01_VD15_Estimate; Total: - $100,000 to $124,999","HD01_VD16_Estimate; Total: - $125,000 to $149,999","HD01_VD17_Estimate; Total: - $150,000 to $174,999","HD01_VD18_Estimate; Total: - $175,000 to $199,999","HD01_VD19_Estimate; Total: - $200,000 to $249,999","HD01_VD20_Estimate; Total: - $250,000 to $299,999","HD01_VD21_Estimate; Total: - $300,000 to $399,999","HD01_VD22_Estimate; Total: - $400,000 to $499,999","HD01_VD23_Estimate; Total: - $500,000 to $749,999","HD01_VD24_Estimate; Total: - $750,000 to $999,999","HD01_VD25_Estimate; Total: - $1,000,000 to $1,499,999","HD01_VD26_Estimate; Total: - $1,500,000 to $1,999,999","HD01_VD27_Estimate; Total: - $2,000,000 or more",Diabetes%,% Single-Parent Households,% Smokers,% Obese,Teen Birth Rate,Income Ratio,Violent Crime Rate
29,Fauquier County,67463,41.5,49.4,50.6,6.9,7.0,81.1,7.4,0.1,1.2,49173,68.66296296296296,540,42315.0,44431.0,18674,0.009050016065117275,0.001071007818357074,0.002838170718646246,0.004069829709756881,0.0004819535182606833,0.003373674627824783,0.0007497054728499518,0.0011245582092749278,0.0011245582092749278,0.001231658991110635,0.0029452715004819534,0.0027846203277283924,0.002838170718646246,0.009906822319802935,0.01810003213023455,0.04112670022491164,0.03213023455071222,0.0932312305879833,0.12450465888400986,0.2576309307057941,0.14581771446931563,0.1525650637249652,0.04423262289814715,0.023240869658348505,0.009050016065117275,0.014779907893327622,7.5,20,17.0,26,22.0,3.8,92
30,Floyd County,15523,45.2,50.2,49.8,5.4,2.6,94.0,2.4,0.2,0.0,12219,64.0,75,37813.0,40927.0,4872,0.03407224958949097,0.022167487684729065,0.007389162561576354,0.003694581280788177,0.004310344827586207,0.019499178981937603,0.0,0.02442528735632184,0.020525451559934318,0.04864532019704434,0.03201970443349754,0.025246305418719212,0.033866995073891626,0.14490968801313628,0.05582922824302135,0.11083743842364532,0.08004926108374384,0.14470443349753695,0.06609195402298851,0.043924466338259444,0.03797208538587849,0.014573070607553366,0.012110016420361249,0.004105090311986864,0.0,0.0090311986863711,7.6,10,27.0,29,31.0,4.0,65
31,Fluvanna County,26014,41.6,45.8,54.2,5.5,3.2,78.7,14.4,0.0,0.7,19857,61.0,161,42000.0,46200.0,8124,0.004923682914820286,0.007016248153618907,0.0072624322993599215,0.0,0.0007385524372230429,0.007508616445100935,0.0,0.008370260955194485,0.011693746922698178,0.001600196947316593,0.008862629246676515,0.0017232890201870998,0.006770064007877893,0.06782373215164944,0.06868537666174299,0.10290497291974397,0.14254062038404727,0.1654357459379616,0.12604628261939932,0.1328163466272772,0.0620384047267356,0.05563761693746923,0.001846381093057607,0.006154603643525357,0.0,0.001600196947316593,14.4,23,,28,21.0,3.6,59
32,Franklin County,56315,45.0,49.0,51.0,6.4,2.7,87.0,8.4,0.1,0.3,44356,71.0,281,36662.0,39162.0,17950,0.029749303621169915,0.013537604456824512,0.013147632311977716,0.014540389972144846,0.004456824512534819,0.007743732590529248,0.007298050139275766,0.013816155988857938,0.017604456824512536,0.013871866295264624,0.025403899721448468,0.034596100278551534,0.0498050139275766,0.09125348189415042,0.08122562674094708,0.11125348189415042,0.05860724233983287,0.09504178272980501,0.073983286908078,0.10033426183844012,0.048467966573816156,0.05459610027855153,0.023676880222841225,0.009637883008356546,0.0028969359331476323,0.0034540389972144846,11.8,24,22.0,29,35.0,4.4,104
33,Frederick County,81340,40.1,49.7,50.3,6.3,7.2,85.2,4.4,0.2,1.4,59655,60.34357005758157,521,40500.0,44528.0,23010,0.02937853107344633,0.010908300738809213,0.015862668405041285,0.009647979139504563,0.0025206431986093004,0.004997827031725337,0.001521077792264233,0.0041720990873533245,0.0038244241634072143,0.009213385484571925,0.012559756627553239,0.016688396349413298,0.018861364624076487,0.04906562364189483,0.05541069100391134,0.09491525423728814,0.09191655801825294,0.13537592351151673,0.14880486744893526,0.17392438070404173,0.06179921773142112,0.03389830508474576,0.009561060408518035,0.00343328987396784,0.0,0.001738374619730552,10.5,22,22.0,31,33.0,3.7,113
34,Giles County,16907,43.9,49.0,51.0,6.0,1.2,95.4,1.6,0.6,0.7,13321,61.6605504587156,109,34237.0,36237.0,5499,0.016002909619930897,0.01745771958537916,0.0014548099654482633,0.01618476086561193,0.009638116021094744,0.0009092562284051646,0.01691216584833606,0.02309510820149118,0.05110020003637025,0.06601200218221495,0.07655937443171486,0.09765411893071467,0.08328787052191307,0.1260229132569558,0.0851063829787234,0.09710856519367157,0.05091834879068922,0.060920167303146026,0.024549918166939442,0.040370976541189305,0.017639570831060193,0.008001454809965449,0.007637752318603383,0.0016366612111292963,0.0038188761593016913,0.0,16.6,25,23.0,34,46.0,4.3,113
35,Gloucester County,37001,43.6,49.4,50.6,6.2,3.0,85.3,8.1,0.2,0.5,29097,61.0,187,39108.0,43068.0,11282,0.025172841694734976,0.00611593689062223,0.0034568338946995214,0.001772735330615139,0.0028363765289842226,0.005318205991845418,0.015245523843290197,0.004697748626130119,0.002659102995922709,0.007179578088991313,0.008509129586952668,0.008952313419606452,0.0059386633575607166,0.042457011168232583,0.04573657152987059,0.0961708916858713,0.13162559829817408,0.17860308455947527,0.1521893281333097,0.16007800035454706,0.0389115405070023,0.03208650948413402,0.017638716539620635,0.0030136500620457367,0.002304555929799681,0.0013295514979613544,10.3,28,19.0,33,25.0,3.6,76
36,Goochland County,21721,47.2,49.4,50.6,5.9,2.3,77.3,17.7,0.2,1.0,17267,64.0,102,42850.0,44778.0,7088,0.01340293453724605,0.008182844243792325,0.0008465011286681715,0.008182844243792325,0.001128668171557562,0.0009875846501128669,0.0,0.010863431151241535,0.0012697516930022573,0.002257336343115124,0.00268058690744921,0.007759593679458239,0.005079006772009029,0.04049097065462754,0.0593961625282167,0.05798532731376975,0.06052483069977427,0.10482505643340857,0.08888261851015801,0.13727426636568849,0.10863431151241534,0.13840293453724606,0.07830135440180587,0.03343679458239278,0.020739277652370203,0.008465011286681716,7.3,18,14.0,26,14.0,4.0,106
37,Grayson County,15573,47.6,49.3,50.7,4.9,2.9,92.4,2.7,0.2,0.1,12604,66.0,74,33912.0,35916.0,5059,0.05040521842261316,0.018580747183237795,0.011860051393556038,0.029452460960664163,0.0203597548922712,0.02727811820517889,0.019964419845819332,0.035580154180668115,0.05020755089938723,0.060288594583909866,0.06878829808262503,0.09527574619490017,0.07728800158134018,0.10753113263490809,0.06463728009488041,0.08638070764973314,0.016801739474204387,0.0802530144297292,0.03577782170389405,0.028859458390986362,0.005930025696778019,0.004744020557422415,0.0,0.0017790077090334058,0.0,0.0019766752322593396,8.0,36,22.0,32,43.0,4.1,122
38,Greene County,18938,40.1,48.8,51.2,5.8,4.9,84.8,6.5,0.0,1.2,13856,63.0,131,42220.0,44220.0,5512,0.015783744557329463,0.01179245283018868,0.000181422351233672,0.003265602322206096,0.0,0.006712626995645864,0.001451378809869376,0.0023584905660377358,0.005986937590711176,0.0052612481857764876,0.00634978229317852,0.0,0.013969521044992743,0.051342525399129174,0.053519593613933235,0.08236574746008708,0.10849056603773585,0.15693033381712626,0.18359941944847605,0.18704644412191582,0.05097968069666183,0.03283744557329463,0.003809869375907112,0.015965166908563134,0.0,0.0,5.6,23,,29,33.0,3.3,172
